id,lng,lat,is_fraud
1010149,126.9815658,35.0589305,TRUE
1010149,126.9793965,35.0566683,TRUE
1010149,126.9793953,35.0566663,TRUE
1010149,126.9793953,35.0566663,TRUE
1010149,126.9793966,35.0566636,TRUE
1010149,126.9793966,35.0566636,TRUE
1010149,126.9793966,35.0566636,TRUE
1010149,126.9831723,35.0601155,TRUE
1010149,126.992299,35.0603815,TRUE
1010149,126.9885461,35.0604818,TRUE
1010149,126.9815606,35.0597315,TRUE
1010149,126.9763438,35.0543788,TRUE
1010149,126.9837006,35.0604685,TRUE
1010149,126.9907071,35.0579481,TRUE
1010149,126.9907061,35.0577188,TRUE
1010149,126.9907063,35.0577168,TRUE
1010149,126.9907065,35.0577153,TRUE
1010149,126.9906883,35.0576731,TRUE
1010149,126.9924156,35.0583641,TRUE
1010149,126.9924271,35.059784,TRUE
1010149,126.9904853,35.0600108,TRUE
1010149,126.9904853,35.0600108,TRUE
1010149,126.9904853,35.0600108,TRUE
1010149,126.990202,35.0601786,TRUE
1010149,126.987862,35.061472,TRUE
1010149,126.9878551,35.0614703,TRUE
1010149,126.9878551,35.0614703,TRUE
1010149,126.9878551,35.0614703,TRUE
1010149,126.9878551,35.0614703,TRUE
1010149,126.9878551,35.0614703,TRUE
1010149,126.9878551,35.0614703,TRUE
1010149,126.9880125,35.0614731,TRUE
1010149,126.9722805,35.0734821,TRUE
1010149,126.979203,35.0594235,TRUE
1010149,126.9761606,35.0586608,TRUE
1010149,126.9761705,35.0586591,TRUE
1010149,126.9761705,35.0586591,TRUE
1010149,126.9761705,35.0586591,TRUE
1010149,126.9761705,35.0586591,TRUE
1010149,126.9761705,35.0586591,TRUE
1010149,126.9761705,35.0586591,TRUE
1010149,126.9761566,35.058678,TRUE
1010149,126.9761566,35.058678,TRUE
1010149,126.9760905,35.0587416,TRUE
1010149,126.9760721,35.0587173,TRUE
1010149,126.9775653,35.0614458,TRUE
1010149,126.9797141,35.0627406,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9773108,35.0588971,TRUE
1010149,126.9760781,35.0589733,TRUE
1010149,126.9788345,35.0639095,TRUE
1010149,126.9806513,35.0633321,TRUE
1010149,126.9681566,35.0723195,TRUE
1010149,126.994121,35.0615973,TRUE
1010149,126.9941236,35.0616016,TRUE
1010149,126.9941081,35.0616043,TRUE
1010149,126.9940981,35.0616071,TRUE
1010149,126.9941015,35.0616141,TRUE
