target_dates,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7
2019-12-06,214715,16480,10012,7655,5056,3069,2418,2263
2019-12-07,274415,28936,16353,13385,11071,8407,4607,3467
2019-12-08,240812,15577,10062,6441,5174,3816,2963,1275
2019-12-09,187231,11510,8145,5961,3601,2997,2147,1095
2019-12-10,189813,11086,4337,3696,3140,2329,1762,1319
2019-12-11,198234,13478,5536,2614,2649,2211,1889,1375
2019-12-12,195301,15241,8459,4042,2274,1943,2072,1679
2019-12-13,221391,19558,10431,8181,5855,3372,2736,2492
2019-12-14,289430,31448,18836,14289,11717,9041,5302,3637
2019-12-15,256045,17737,9816,7204,5837,4384,3553,1528
2019-12-16,203567,13688,9722,6430,4372,3497,2369,1643
2019-12-17,192520,12573,4970,4170,3217,2721,2326,1732
2019-12-18,218336,15761,6723,3997,3092,2992,2376,1977
2019-12-19,213266,17844,9193,5510,3544,2851,2718,2282
2019-12-20,229479,19879,11120,8807,6299,4009,3218,3176
2019-12-21,280770,27529,17803,14703,12025,8975,5662,4460
2019-12-22,253368,21413,11806,8049,6526,5584,4649,2563
2019-12-23,236061,18842,13541,11442,7513,6021,3914,3240
2019-12-24,305106,37812,15274,11294,10008,7951,6781,5697
2019-12-25,360412,45501,24937,11683,10385,8419,7026,6453
2019-12-26,238383,26173,19093,11574,6506,5867,5030,4375
2019-12-27,250507,24250,12683,10605,8314,4027,3792,3287
2019-12-28,282299,33794,18933,12077,11532,8221,5289,3614
2019-12-29,250363,24736,15966,10183,6919,6234,4633,2365
2019-12-30,257028,25156,16791,13753,8690,5582,5077,3869
2019-12-31,354897,46263,21003,14781,13671,9796,6303,5470
2020-01-01,324573,39676,18498,8730,7702,6971,4632,3007
2020-01-02,209927,17834,11574,6907,4062,3778,3134,2157
2020-01-03,206652,16008,7217,6184,3893,2735,2244,2043
2020-01-04,260365,28140,15330,7622,7484,6016,4353,3065
2020-01-05,226131,16752,9164,5299,3285,2726,2256,1968
2020-01-06,181393,13514,9381,6712,4080,2473,2254,1910
2020-01-07,177145,11543,5086,4097,3458,2446,1279,1661
2020-01-08,181878,13067,6603,3556,2966,2346,1900,1028
2020-01-09,197236,14028,8378,4304,2930,2699,2150,1738
2020-01-10,202155,17693,9808,6771,5311,3127,2799,2314
2020-01-11,272484,30757,18056,14261,11563,8808,5036,3797
2020-01-12,237524,16864,10314,6634,5150,3824,3313,1879
2020-01-13,202393,13871,9351,7493,5122,3601,2198,2203
2020-01-14,194399,13045,5139,4646,3578,2488,2108,1941
2020-01-15,196675,16361,6926,4036,3313,3003,2329,1996
2020-01-16,195072,16455,8439,4981,3297,2868,2433,1671
2020-01-17,200397,18981,10614,9173,6964,3432,2608,2505
2020-01-18,279067,30470,18424,15994,12970,10359,5737,4604
2020-01-19,234492,18557,9389,7150,5730,4657,3547,2153
2020-01-20,202918,14893,9814,6673,4588,3397,2777,2042
2020-01-21,210054,13416,5615,4700,3855,2679,1871,1456
2020-01-22,203286,15933,7662,4110,2866,3056,2234,1640
2020-01-23,261476,23811,14842,10817,5891,4953,4393,3329
2020-01-24,329502,37151,22826,17529,14200,8822,7494,6231
2020-01-25,357444,40711,20576,16039,13853,10789,6967,6012
2020-01-26,307113,27105,13652,9100,6646,5687,5233,2799
2020-01-27,253434,17464,9445,6505,5003,3563,2906,2137
2020-01-28,214986,16755,8361,6001,6071,4372,2827,2433
2020-01-29,202218,14509,5920,3418,3062,2803,2545,1922
2020-01-30,198138,17388,7762,4207,2759,2268,2507,1743
2020-01-31,194526,17606,9581,6145,3188,2083,1784,1883
2020-02-01,274479,28729,18465,13788,8725,5871,3956,2805
2020-02-02,231614,16977,9596,6255,4877,2994,2295,1376
2020-02-03,183473,14756,9685,7372,4533,3242,2608,2006
2020-02-04,210635,12482,5008,3995,2934,2190,2464,1277
2020-02-05,194150,15360,6208,3480,2810,2518,1737,1350
2020-02-06,198562,15103,7659,3914,2437,1734,1684,1616
2020-02-07,193411,17408,8953,6504,4963,3140,2085,2121
2020-02-08,275947,27767,16712,12982,11244,7309,4047,3233
2020-02-09,246967,18469,9190,6817,5514,3567,2834,1797
2020-02-10,214910,17163,11200,7815,5188,4196,2707,1696
2020-02-11,211430,15548,5684,4809,3808,2793,2581,1666
2020-02-12,193650,15284,7020,3981,2923,2409,2111,1530
2020-02-13,219588,16589,9047,5594,3109,2552,2219,1535
2020-02-14,231420,21797,11961,9306,6161,3702,2780,2464
2020-02-15,303571,31199,19610,14690,12096,9173,4282,3064
2020-02-16,232406,18626,10721,7634,5296,4516,2926,1838
2020-02-17,196597,17037,11502,8508,6150,4482,3718,2119
2020-02-18,206730,14797,7125,5791,4125,3559,2647,2028
2020-02-19,351157,17985,7336,4127,3989,2650,2182,2044
2020-02-20,277596,24382,9626,5177,3879,2695,2221,2318
2020-02-21,200143,32891,15776,9503,5625,3312,2685,2510
2020-02-22,258348,29937,33666,17257,11743,8136,5306,3542
2020-02-23,228242,18144,10902,13434,6706,5009,3738,1976
2020-02-24,188054,14663,9677,7224,9916,4925,3308,2166
2020-02-25,171854,10503,4690,3916,3397,5188,2915,1786
2020-02-26,192367,13830,6030,3210,2648,2514,4168,2150
2020-02-27,194119,13772,5986,3839,2173,1580,1563,3057
2020-02-28,182526,15808,7736,4793,3507,2264,1619,1807
2020-02-29,266515,23480,12299,8773,5803,4669,2459,1772
2020-03-01,230091,15666,7719,4913,3561,2503,1801,892
2020-03-02,195750,17309,10557,7316,4804,2690,1997,1386
2020-03-03,187781,12860,5413,3289,2101,1497,992,767
2020-03-04,190147,14490,5424,3004,2056,1765,1075,836
2020-03-05,196123,15810,7859,3567,1965,1567,1304,778
2020-03-06,200809,16319,8960,5637,3557,1788,1267,979
2020-03-07,274942,25633,14487,9811,6815,4425,1769,1218
2020-03-08,281572,19061,9576,5989,3879,2606,1391,937
2020-03-09,199301,15201,9896,6303,3956,2914,1894,1089
2020-03-10,183079,13497,5393,3780,2585,2115,1808,901
2020-03-11,206646,18817,7853,3874,2966,2000,1879,935
2020-03-12,204296,17489,8891,4892,2762,1815,1398,1067
2020-03-13,214325,19075,9749,6775,5326,2925,2079,1402
2020-03-14,324323,32349,18884,13400,9553,6586,3620,2187
2020-03-15,259116,19113,9222,6169,4321,3404,2304,1140
2020-03-16,193385,15425,9706,6233,4124,2602,1683,1300
2020-03-17,184781,13169,5185,3531,2521,1782,1250,793
2020-03-18,192278,16575,6739,3788,2458,1975,1534,1094
2020-03-19,176822,15419,7935,4325,2368,1757,1347,963
2020-03-20,209247,18381,10767,7121,4137,2355,1617,1270
2020-03-21,311974,30772,17609,13193,10006,6376,2668,1877
2020-03-22,278943,19946,9677,6335,4602,3447,2742,1125
2020-03-23,198263,14686,9416,6231,3989,2989,1946,1349
2020-03-24,187974,13593,5408,3872,2932,2254,1537,887
2020-03-25,196264,15460,6427,3135,2590,1939,1502,1200
2020-03-26,170320,13095,6314,4186,2080,1895,1425,1115
2020-03-27,190624,14984,8153,5844,4280,2469,1775,1546
2020-03-28,301846,28606,16991,12540,10579,6841,3479,2428
2020-03-29,267611,18967,9512,7022,5023,3764,2620,1259
2020-03-30,194729,15056,9126,5504,3653,2730,1987,1273
2020-03-31,199318,13187,5030,3398,3059,1922,1291,890
2020-04-01,191327,14190,6010,3747,2439,2007,1581,1181
2020-04-02,188370,15782,7671,3958,2349,1754,1276,1175
2020-04-03,206411,17579,10213,6315,4485,2404,1650,1511
2020-04-04,316491,33254,18692,15694,11293,6587,3022,2394
2020-04-05,268890,19887,10134,6582,4372,3043,2239,1099
2020-04-06,182684,14426,8294,5368,3762,2612,1551,886
2020-04-07,177381,11189,5151,3482,3166,2194,1558,988
2020-04-08,179161,12862,5840,2611,2254,1893,1418,1039
2020-04-09,175029,13693,6753,3594,1891,1484,1420,886
2020-04-10,189442,16099,9120,7264,3997,2448,1877,1732
2020-04-11,278098,26443,16739,12843,10633,6605,3553,2302
2020-04-12,229920,16496,8478,6287,4769,3725,2208,1190
2020-04-13,186624,12229,9008,5708,3549,2435,2025,1341
2020-04-14,204325,15035,5689,4678,3546,2839,1979,1538
2020-04-15,253088,24612,11364,5314,3519,3077,2486,2049
2020-04-16,188351,15993,9652,4268,2586,1863,2025,1399
2020-04-17,176343,13047,6007,4963,2847,2235,1297,1275
2020-04-18,286613,26281,13543,8998,7975,5972,3363,2274
2020-04-19,204381,13975,7796,4443,3109,2711,2077,1117
2020-04-20,168184,11688,7799,5159,3227,2463,1793,1110
2020-04-21,181975,9856,4500,3223,2841,1726,1506,1110
2020-04-22,169504,13211,5317,2968,2335,1808,1125,763
2020-04-23,180546,13698,6872,3499,1885,1706,1452,1096
2020-04-24,187073,14991,8183,6363,3567,2169,1701,1397
2020-04-25,274057,28673,16211,12964,10100,6349,3512,2333
2020-04-26,253375,16425,9077,6373,4373,3397,2547,1066
2020-04-27,189938,13044,9128,5837,3905,2728,1912,1349
2020-04-28,200019,13281,5587,4628,3579,2803,2053,1579
2020-04-29,221758,23982,14209,6923,6322,5362,4743,3666
2020-04-30,354576,48827,36055,26235,13169,11585,10953,10116
2020-05-01,375498,43078,28409,24521,16435,9440,8104,7443
2020-05-02,339564,39911,21957,16898,14930,10700,6484,4161
2020-05-03,266918,24894,15246,9932,9032,7000,5198,2979
2020-05-04,266387,21264,12442,10081,8230,5327,4435,2821
2020-05-05,267045,21298,8101,5354,4015,2954,2329,1719
2020-05-06,191859,17285,8636,5249,4234,3514,3208,2203
2020-05-07,183585,13149,6962,4397,2455,2260,1923,1320
2020-05-08,198541,16516,8720,5741,4317,2098,1953,1698
2020-05-09,234937,24043,15210,11189,7201,5327,3231,2587
2020-05-10,234220,17971,9648,7690,5067,3181,2186,1221
2020-05-11,183546,12640,8466,6461,3806,2984,1706,1144
2020-05-12,183904,12190,4890,4111,3454,2190,1624,1277
2020-05-13,190618,15164,6105,3229,2753,2187,1780,1285
2020-05-14,195422,15432,7429,4553,2616,2229,1746,1690
2020-05-15,189579,15757,9054,6446,4501,3121,2182,1918
2020-05-16,292453,27256,17043,12826,10147,7683,4129,3037
2020-05-17,263181,17697,9330,6315,4857,3762,2910,1720
2020-05-18,183106,11347,8178,5176,4138,2440,2129,1341
2020-05-19,175345,10573,4074,3479,2677,2082,1826,1272
2020-05-20,189213,14945,5958,3711,3020,2270,1731,1164
2020-05-21,187214,13628,7508,4582,2358,1733,1334,1597
