target_dates,op_rate_0d_all_cars,op_rate_1d_all_cars,op_rate_2d_all_cars,op_rate_3d_all_cars,op_rate_4d_all_cars,op_rate_5d_all_cars,op_rate_6d_all_cars,op_rate_7d_all_cars,op_rate_0d_major_cars,op_rate_1d_major_cars,op_rate_2d_major_cars,op_rate_3d_major_cars,op_rate_4d_major_cars,op_rate_5d_major_cars,op_rate_6d_major_cars,op_rate_7d_major_cars,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7,is_clean,avg_precipitation,avg_temperature,month,year,week,weekday,is_weekend
2021-03-04,0.2893491205,0.1437660184,0.08991720689,0.06412508166,0.05262387557,0.04698163224,0.03914832404,0.03219382884,0.2844246873,0.1434309358,0.08736512856,0.06014513028,0.04908549271,0.04343506084,0.03601444129,0.02990487259,160132,12553,5244,3049,2259,1916,1717,1081,0,58.0,6.6,3,2021,9,3,False
2020-07-18,0.4726607813,0.2394487308,0.1726956833,0.1406328409,0.1182875162,0.09940526596,0.08290077573,0.07336555953,0.4789731759,0.2553299899,0.1790830814,0.143213566,0.1195314647,0.100340066,0.0818585692,0.07137262984,356056,40260,23528,17305,13584,11440,7009,4525,0,7.6,23.2,7,2020,29,5,True
2020-03-28,0.4196619854,0.1722666453,0.1016935717,0.07186181435,0.05216731339,0.03916060754,0.02956019565,0.02553857118,0.4293978513,0.1853222325,0.1066688509,0.07480053191,0.0524334464,0.03953226179,0.02749351167,0.0223863578,301846,28606,16991,12540,10579,6841,3479,2428,0,2.5,7.6,3,2020,13,5,True
2021-02-22,0.3488990413,0.1730064447,0.1278809081,0.09665824839,0.0748705467,0.06045138253,0.04541165639,0.03585652811,0.3460769421,0.1765834061,0.1281822644,0.09426992437,0.07197953025,0.05710533013,0.0415294139,0.03135180337,191616,18657,11632,7690,5998,4091,3679,2181,1,0.0,9.8,2,2021,8,0,False
2019-11-23,0.4810847237,0.220333006,0.1498708917,0.1209559473,0.1005590365,0.08103432152,0.0662121897,0.05948920374,0.5103088606,0.2167570199,0.1430172208,0.115138913,0.09552689556,0.07661294981,0.06223894514,0.05427795793,315130,33250,20122,16073,13118,9241,4948,4195,0,0.0,11.5,11,2019,47,5,True
2020-10-30,0.3507267192,0.1905063573,0.1317203106,0.1034405471,0.08195395315,0.06751553501,0.05983570928,0.05264119815,0.3477043732,0.1922371238,0.1272785556,0.09926685765,0.0759441518,0.05982580168,0.05260893171,0.04437937036,196416,21511,14202,10698,7324,3365,2820,2539,0,0.1,11.8,10,2020,44,4,False
2020-12-14,0.3139505296,0.1495128571,0.1140083296,0.08984503977,0.0674883686,0.0535394467,0.0459809145,0.03885011756,0.3201478732,0.1553957603,0.1154488131,0.09012510116,0.06650705872,0.05140425022,0.04387626263,0.03737860804,165393,14169,9536,7283,4453,3242,2331,1552,0,4.9,-4.2,12,2020,51,0,False
2020-09-10,0.3776048967,0.1944851322,0.1281527036,0.09887905202,0.07930524441,0.06678657591,0.05340628411,0.03934566891,0.3870101687,0.2049654064,0.1344027644,0.1038247306,0.08346953626,0.07095315381,0.05569175848,0.04011223883,213737,17147,8793,4882,3154,2586,2309,1634,0,16.0,22.2,9,2020,37,3,False
2020-09-29,0.3165210193,0.1542791815,0.1061721561,0.09088135413,0.07919030322,0.06633852855,0.05953578285,0.0525280262,0.3219839618,0.155585369,0.1036036293,0.08515157385,0.07290052563,0.05985571811,0.05318851973,0.04741382584,245334,20521,8344,7226,7464,6488,4922,4206,1,0.0,18.3,9,2020,40,1,False
2019-11-13,0.3372008826,0.1357476478,0.07888315656,0.05215433004,0.04475991225,0.03753811116,0.02969141085,0.02533049742,0.348818633,0.1361230228,0.07644590644,0.05068212307,0.04138224272,0.03304976087,0.02514576899,0.02252044392,204876,18917,7731,2717,3317,2284,1818,1369,0,27.5,9.3,11,2019,46,2,False
2021-04-04,0.4412053396,0.2250356564,0.1605544077,0.1269769748,0.1011346541,0.08735200164,0.07639011,0.06385115663,0.4454078685,0.2328216841,0.1639912897,0.1289877758,0.09866594968,0.0845774058,0.07323966408,0.06190902121,254982,16807,10889,7286,5095,4392,3422,1831,0,95.2,10.6,4,2021,13,6,True
2020-03-02,0.3058237708,0.119339774,0.07937292832,0.05724177529,0.04105709432,0.03168944596,0.0242773938,0.01800474079,0.3197006126,0.1193408232,0.07952843223,0.05677537813,0.037918121,0.02922302211,0.022293121,0.01664121582,195750,17309,10557,7316,4804,2690,1997,1386,0,2.2,5.4,3,2020,10,0,False
2020-02-02,0.4190781212,0.1950364656,0.127965917,0.09664327638,0.07751917713,0.06396951999,0.0558482973,0.04981476639,0.4185492211,0.1956190187,0.1241705699,0.09376535982,0.07673584006,0.05985449735,0.05356239338,0.04732630757,231614,16977,9596,6255,4877,2994,2295,1376,0,0.1,2.8,2,2020,5,6,True
2020-11-28,0.4042236286,0.1958751402,0.1400861422,0.1160077706,0.09684671153,0.08483537611,0.07496695506,0.06952142414,0.3968976881,0.1961235003,0.1362029749,0.1094924668,0.0902259965,0.07815712357,0.06869649268,0.0632048007,257850,27996,17735,13243,11081,7138,3987,2753,0,2.2,2.7,11,2020,48,5,True
2021-05-10,0.3034346123,0.156110667,0.1191774358,0.1014127587,0.08366862066,0.07231659117,0.06234623412,0.05385524913,0.3017187015,0.1558309182,0.1155903215,0.09688139547,0.07879692128,0.06751468177,0.05742255526,0.04910844805,182280,12916,9114,6833,4657,4416,3898,2208,0,43.9,17.1,5,2021,19,0,False
2020-07-19,0.4102332822,0.220315571,0.1647998735,0.1330277987,0.113861315,0.09999398863,0.08560328064,0.07270169468,0.4211107116,0.2327631217,0.1727764038,0.1362897316,0.1156476138,0.1023999267,0.08733168453,0.07237679766,253009,19369,11297,8584,6733,5568,4702,3169,0,59.2,23.7,7,2020,29,6,True
2020-05-16,0.4386490034,0.1860239008,0.1175253648,0.0899682488,0.068889401,0.05511875068,0.04388156864,0.03783558664,0.4488560233,0.2021695997,0.1247095698,0.0933589257,0.07134805613,0.05543622038,0.04412238325,0.03679405337,292453,27256,17043,12826,10147,7683,4129,3037,0,6.9,17.1,5,2020,20,5,True
2020-06-18,0.3527133549,0.1680880604,0.101417812,0.06986343592,0.04870300175,0.04099255324,0.03529401785,0.0292830209,0.3658527892,0.1726665808,0.1026070567,0.07104486626,0.04921504541,0.03975992534,0.03351204864,0.02757526414,187508,15251,8686,4642,2524,2332,2057,1662,0,230.3,20.4,6,2020,25,3,False
2021-02-14,0.4705010761,0.2413247685,0.1933093011,0.1677230792,0.1441606263,0.1201232073,0.1048081291,0.09179173249,0.4728221217,0.2470797673,0.1966597934,0.1695166881,0.1445011677,0.1194292936,0.1027088599,0.08754600683,252951,18178,9186,6268,5084,3583,2863,1681,0,27.0,8.9,2,2021,6,6,True
2020-04-21,0.3111332395,0.1274902817,0.06175268492,0.04661386242,0.03578274122,0.02564331157,0.01937581754,0.01530098574,0.3163436604,0.1328306821,0.06003622928,0.04401947024,0.03345359774,0.02356102594,0.01745333381,0.01250329902,181975,9856,4500,3223,2841,1726,1506,1110,0,0.1,9.4,4,2020,17,1,False
2020-04-20,0.2736744258,0.1040171489,0.06384181876,0.0469219274,0.0320980066,0.02443941623,0.01881686765,0.01403946848,0.2775677389,0.1055623467,0.06118806387,0.0438358219,0.03028430439,0.02304582918,0.01682877991,0.01247909527,168184,11688,7799,5159,3227,2463,1793,1110,0,8.3,11.4,4,2020,17,0,False
2020-02-27,0.3535041199,0.1535525967,0.08283562941,0.05554442289,0.04083180947,0.03764408889,0.03465897453,0.03181213523,0.3663111814,0.15846007,0.08340893596,0.05442116267,0.03816735603,0.03300395437,0.02823871642,0.02658424617,194119,13772,5986,3839,2173,1580,1563,3057,0,3.8,5.9,2,2020,9,3,False
2021-02-06,0.4407118234,0.2091834336,0.1396240755,0.1063212987,0.08373096089,0.06619290878,0.04981705215,0.04015189503,0.4447522201,0.2186312995,0.1429490055,0.1067462988,0.0841287199,0.06466838642,0.0467707866,0.03641393749,283788,30256,16952,14184,11013,8741,4529,2596,1,0.0,6.3,2,2021,5,5,True
2020-04-26,0.4115143907,0.1769336849,0.1086273262,0.07454309875,0.05422197975,0.0416295387,0.03201870037,0.02457113415,0.4251094644,0.1908428678,0.1133362983,0.07639324915,0.05393789824,0.03995017674,0.03007999628,0.02268063113,253375,16425,9077,6373,4373,3397,2547,1066,0,1.7,12.3,4,2020,17,6,True
2020-09-18,0.3659766704,0.20028431,0.1414572004,0.1125965377,0.0885018946,0.07183016603,0.06232705176,0.05205260037,0.3735233137,0.2125117702,0.1483705805,0.1170731198,0.09131811555,0.07457209465,0.06399501093,0.05291959024,216295,19028,10997,9063,5524,3035,2454,2384,0,14.7,20.0,9,2020,38,4,False
2021-04-19,0.3369762898,0.1752946128,0.1327221748,0.1132332717,0.09688374354,0.08225861905,0.06796248874,0.05922132119,0.3393886293,0.180302463,0.1332922491,0.1129703015,0.0966744328,0.08240590503,0.06687364786,0.05751528957,188529,14359,10721,8354,6043,4364,3703,2599,1,0.0,13.1,4,2021,16,0,False
2020-04-27,0.296220418,0.1153307143,0.07182887124,0.05377696234,0.03811202637,0.02820052088,0.02079416279,0.01593007101,0.3050851783,0.1156897043,0.07014865093,0.05225736717,0.03527263324,0.02705993108,0.01937750246,0.01485928138,189938,13044,9128,5837,3905,2728,1912,1349,0,1.9,12.0,4,2020,18,0,False
2019-12-27,0.4544020489,0.2390702252,0.1742648153,0.1507758137,0.1290357192,0.1110158968,0.09829787356,0.08685522912,0.457470594,0.2445667071,0.1740889812,0.1492830145,0.1261180357,0.1088678265,0.09792550276,0.0873167864,250507,24250,12683,10605,8314,4027,3792,3287,0,1.2,0.9,12,2019,52,4,False
2020-07-09,0.374752268,0.1909795607,0.1220613723,0.08801824978,0.0661812645,0.05790189995,0.05222499008,0.04434767491,0.3896163889,0.2016466897,0.123862077,0.08947353734,0.06327840728,0.0547392074,0.04940069085,0.04275909095,214268,16987,9454,5115,2891,2539,2674,2030,0,6.7,24.2,7,2020,28,3,False
2020-03-08,0.4213273268,0.1765399718,0.1093203571,0.07320617829,0.05296720658,0.04158690717,0.0313700227,0.02358580281,0.4433081551,0.197200032,0.1208238752,0.07756569757,0.05781822944,0.04618292009,0.03132457366,0.02399270997,281572,19061,9576,5989,3879,2606,1391,937,0,0.0,8.0,3,2020,10,6,True
2019-10-14,0.2997605707,0.1091444839,0.07269605,0.0568423844,0.04362252172,0.03451620606,0.02950026615,0.02483640106,0.3246041356,0.1140259096,0.07646568957,0.05739566925,0.0440072338,0.03374457342,0.02853440077,0.02270498629,200920,12835,8910,5943,3684,2557,2119,1354,0,24.1,15.0,10,2019,42,0,False
2020-06-27,0.4835497105,0.2282809419,0.1585419522,0.1268912174,0.1046589681,0.08650300255,0.06983020823,0.06102936261,0.4904591656,0.2396819257,0.1641298083,0.1295984508,0.1060904825,0.08567047891,0.06712499494,0.05833889496,336227,33435,19428,16781,13918,10210,5630,3654,0,3.6,23.3,6,2020,26,5,True
2019-12-29,0.4831459511,0.257946219,0.1967392238,0.1679646803,0.149972809,0.1364230923,0.1195846929,0.1045094167,0.4838692038,0.257323134,0.1908901728,0.1624704262,0.1435792291,0.1292611587,0.1123301307,0.09740796041,250363,24736,15966,10183,6919,6234,4633,2365,0,48.2,3.7,12,2019,52,6,True
2020-05-30,0.4955073143,0.2212109424,0.1444815473,0.1076364658,0.08049001274,0.06303924676,0.04928071018,0.04263602089,0.5031850002,0.239013323,0.1572729132,0.1168700512,0.08750773758,0.06891009584,0.05408551072,0.04673978537,321363,32085,19316,15411,12412,9049,4279,3289,0,0.3,20.5,5,2020,22,5,True
2020-07-04,0.4674835568,0.2270802116,0.1574686454,0.11940322,0.0925871188,0.07503951393,0.06229995005,0.05322303645,0.4739612255,0.2385119438,0.1652216899,0.1229640915,0.09234113228,0.07239848977,0.0591311985,0.04800561308,352607,37194,21595,16515,11995,10271,5223,3308,0,7.7,21.4,7,2020,27,5,True
2020-10-21,0.3373776356,0.1766757206,0.1180708909,0.08575201935,0.07100987349,0.06029232793,0.04782532953,0.03733045275,0.340410401,0.1797266685,0.113329462,0.08177234258,0.06710056268,0.05735898379,0.04417345108,0.03448457599,177692,18271,7143,3659,2632,2152,2044,1773,0,80.7,13.9,10,2020,43,2,False
2020-02-16,0.4343732665,0.2179799787,0.153570092,0.1174678981,0.0925545849,0.07378901636,0.05648382042,0.04493532844,0.4417769476,0.21666195,0.1496212121,0.1110621299,0.08281993788,0.06618084581,0.05004970684,0.03687013816,232406,18626,10721,7634,5296,4516,2926,1838,0,74.9,2.4,2,2020,7,6,True
2020-04-04,0.4485151756,0.1889602914,0.1128175367,0.07896032285,0.05573170271,0.03932406673,0.02933557921,0.02401892324,0.4576882017,0.2065490301,0.1217420535,0.08743563763,0.06089890648,0.04330121588,0.03038254187,0.02536896842,316491,33254,18692,15694,11293,6587,3022,2394,1,0.0,9.6,4,2020,14,5,True
2020-11-16,0.3514625689,0.1772713508,0.1346523961,0.1137877787,0.09474139312,0.08063664394,0.06984800933,0.05832357269,0.3508110824,0.1783837222,0.1303506693,0.1077473353,0.08737199448,0.07323716459,0.06258327136,0.05334692787,191064,14810,9767,7530,5711,4852,3317,3208,0,0.5,12.4,11,2020,47,0,False
2020-10-26,0.3349834187,0.1676807193,0.1282761228,0.1064767611,0.08400259578,0.07058102078,0.06011417482,0.0499311651,0.3356772015,0.1695828905,0.1273520418,0.1022315033,0.07885164903,0.0664877844,0.05675035045,0.04714289015,186299,15003,10632,7787,4676,3849,3250,1787,1,0.0,12.5,10,2020,44,0,False
2020-01-31,0.3562574365,0.1613304858,0.09436889819,0.06907688285,0.0552504649,0.04715611925,0.04343909809,0.03999811134,0.3674275086,0.1649264897,0.09765410414,0.07186948854,0.05789928297,0.05089882037,0.0445488912,0.0395090641,194526,17606,9581,6145,3188,2083,1784,1883,0,1.3,3.9,1,2020,5,4,False
2020-03-07,0.418856464,0.1799266826,0.10825204,0.07561276765,0.05549880361,0.0418070127,0.03158552672,0.02565878275,0.4399483356,0.1965470578,0.1151890169,0.08131438799,0.06155418777,0.04258337699,0.03241589547,0.02573518713,274942,25633,14487,9811,6815,4425,1769,1218,0,24.5,6.0,3,2020,10,5,True
2021-01-23,0.3787050933,0.1759268033,0.1196079051,0.09068248102,0.06881073839,0.0536241669,0.04265506386,0.03493345757,0.3715308469,0.1747274161,0.1137631528,0.085947075,0.06506983679,0.05016366245,0.03808608346,0.0307810585,242871,24134,14125,11202,8291,5984,3254,2397,0,36.1,8.0,1,2021,3,5,True
2020-06-23,0.367704126,0.169119757,0.09769981323,0.0784933061,0.06384528111,0.04894032221,0.03934370145,0.03342235255,0.3856767082,0.1770067507,0.09981148898,0.07896955802,0.06278308496,0.04702585658,0.0373799516,0.03084702586,198820,13418,4960,3864,3190,2191,1794,1636,0,0.3,24.6,6,2020,26,1,False
2020-06-10,0.352504663,0.1562798644,0.08628714875,0.0569104288,0.04568193928,0.03854072062,0.03016195919,0.02358881653,0.3758039044,0.1706817717,0.09352832787,0.06004927051,0.04652329778,0.03925716878,0.03071444916,0.02341620467,195732,14712,6011,3154,2578,1951,1832,1633,0,87.7,24.8,6,2020,24,2,False
2020-01-23,0.3870706948,0.1661275592,0.1059736107,0.07984908376,0.06517820289,0.05754171343,0.05111957595,0.0447736075,0.397937424,0.1688694452,0.1003339405,0.07391505479,0.05705539654,0.04874483187,0.04338877324,0.03783574754,261476,23811,14842,10817,5891,4953,4393,3329,0,39.3,5.8,1,2020,4,3,False
2020-02-18,0.3967898542,0.1757819964,0.1020078663,0.08410374294,0.07092128741,0.05303627123,0.04125966013,0.03173401688,0.4095475133,0.1784021973,0.1005475009,0.0794511204,0.0661100952,0.04861292523,0.03763388192,0.02902407698,206730,14797,7125,5791,4125,3559,2647,2028,0,4.3,-1.5,2,2020,8,1,False
2020-05-02,0.5765219432,0.3043577443,0.2415264828,0.1992891431,0.1691729606,0.1422948588,0.1241997025,0.1130617893,0.573969595,0.32514691,0.2556205295,0.20985562,0.1753303319,0.1439516778,0.1246104441,0.1118226615,339564,39911,21957,16898,14930,10700,6484,4161,0,9.0,19.8,5,2020,18,5,True
2020-04-30,0.4980594154,0.2491912675,0.1813074358,0.1422751739,0.1131969482,0.09707576182,0.08359010967,0.07273472068,0.5034286227,0.266969399,0.1905848226,0.1468180041,0.1155529106,0.09780296235,0.08218479036,0.07188384047,354576,48827,36055,26235,13169,11585,10953,10116,1,0.0,16.3,4,2020,18,3,False
2020-04-02,0.3348103396,0.1326133256,0.06338138613,0.04167137157,0.02944880433,0.02343671585,0.0208709726,0.01543288292,0.3439775851,0.1375587619,0.0609223704,0.0400299558,0.02768037352,0.02030000511,0.01640543164,0.01206535347,188370,15782,7671,3958,2349,1754,1276,1175,0,0.0,9.5,4,2020,14,3,False
2020-11-03,0.3398300749,0.1725758453,0.1084833665,0.08975457892,0.07577910866,0.06053831349,0.04767912449,0.03832895479,0.3413936803,0.1752768914,0.1053353142,0.08568989703,0.07095607504,0.05613939758,0.04333341041,0.0352049035,178700,13889,5849,4228,3879,3159,2107,1543,0,3.1,7.2,11,2020,45,1,False
2020-01-17,0.3842690207,0.1851113201,0.1185627302,0.09042723572,0.07144896637,0.05686596217,0.04931175873,0.04295982155,0.3852076915,0.1845668978,0.1158448924,0.08579685017,0.06697370322,0.05314080335,0.04528066753,0.03975400954,200397,18981,10614,9173,6964,3432,2608,2505,0,1.3,1.2,1,2020,3,4,False
2020-11-11,0.3776892668,0.1996582387,0.1348415516,0.1043039703,0.09056673956,0.07915306112,0.06445408066,0.05101642152,0.3806718415,0.2041118396,0.1326825762,0.101602579,0.08850703647,0.07643829141,0.06256780738,0.0480967437,191670,19108,9579,5170,4489,3793,3842,2185,1,0.0,8.7,11,2020,46,2,False
2020-12-21,0.3325487447,0.1597649907,0.1152590107,0.09007478731,0.06912527704,0.05748268836,0.04714996272,0.04060447754,0.3428277226,0.1656610351,0.1163115298,0.08828048181,0.06550572093,0.05228166622,0.04207450612,0.03568595244,188590,16003,11200,7737,4537,3549,2493,1653,0,0.2,0.1,12,2020,52,0,False
2020-01-04,0.4429176856,0.2105280976,0.1444669179,0.110096924,0.09113061693,0.0761526294,0.06548565732,0.0589993258,0.440933844,0.2103762416,0.143360909,0.1060453482,0.08507124913,0.07311157311,0.06201453858,0.05523071148,260365,28140,15330,7622,7484,6016,4353,3065,0,0.2,2.3,1,2020,1,5,True
2020-01-09,0.3667507604,0.1648226659,0.09968226486,0.07123857451,0.05273015926,0.04608640922,0.03923020948,0.03077485607,0.3724511466,0.1645565961,0.09727822581,0.06941192623,0.05088738582,0.04316611747,0.03540510464,0.02944885247,197236,14028,8378,4304,2930,2699,2150,1738,0,0.4,2.1,1,2020,2,3,False
2021-04-26,0.3309745676,0.1697389803,0.1315006786,0.111773586,0.09381116928,0.08103429173,0.06828799882,0.06043755655,0.3267739948,0.1695671811,0.1280566637,0.1074256528,0.09012078901,0.0790241175,0.06456352085,0.05741423544,191883,15432,10933,7854,6148,4688,3793,3443,1,0.0,14.5,4,2021,17,0,False
2019-12-17,0.3594789679,0.1572985547,0.09227156572,0.07322158006,0.06249078829,0.05172012363,0.04338455338,0.03524336348,0.3690752574,0.155539216,0.08618660669,0.06712333458,0.05797736124,0.04891068304,0.0423652298,0.03417440245,192520,12573,4970,4170,3217,2721,2326,1732,0,27.2,9.0,12,2019,51,1,False
2020-05-03,0.5020059911,0.2554554564,0.1985592642,0.1672700473,0.1416239256,0.1211609298,0.1019182459,0.08913997752,0.5027973085,0.2694174199,0.2077856551,0.176588123,0.1466685066,0.1224369811,0.1020047034,0.08727489133,266918,24894,15246,9932,9032,7000,5198,2979,0,154.0,18.9,5,2020,18,6,True
2019-12-20,0.4056972757,0.1868823039,0.1215078061,0.09400535241,0.07753369511,0.06333738473,0.05647282708,0.04988644664,0.4139111597,0.1917351203,0.1165423692,0.08891050584,0.07031452659,0.05427114858,0.04783830523,0.04322488831,229479,19879,11120,8807,6299,4009,3218,3176,0,1.1,1.5,12,2019,51,4,False
2020-12-17,0.3472633055,0.1757415212,0.1103206251,0.08208340886,0.06399537792,0.05710191227,0.04936383502,0.04093911748,0.3557424428,0.1825640622,0.1117337294,0.08210497495,0.06228808474,0.05589124434,0.04761529691,0.03850200288,180911,16662,7516,4043,3194,2304,2070,2187,0,0.3,-2.8,12,2020,51,3,False
2020-11-05,0.3593191711,0.1894984236,0.1285872171,0.09526855333,0.07284766977,0.0622345795,0.05407491944,0.04415739249,0.3605010049,0.1936828394,0.1276883593,0.09248323888,0.06760091509,0.05722876409,0.04821724421,0.03809863898,179604,16322,9450,5409,3564,2800,2359,1987,1,0.0,9.6,11,2020,45,3,False
2020-10-13,0.321654282,0.159027472,0.09116028181,0.07131953618,0.06008366358,0.04915847155,0.03903444396,0.03040510788,0.3273724681,0.1636997734,0.09020025573,0.06980047164,0.05833773582,0.04729132212,0.03725652334,0.02926983799,189910,12477,5178,4026,3431,3153,2380,1740,0,2.1,14.2,10,2020,42,1,False
2019-12-30,0.4495740194,0.218452465,0.1713005937,0.1478257254,0.1265571364,0.1125955033,0.1016028138,0.0891500234,0.4517765161,0.223196461,0.1720122559,0.1464075296,0.1250876905,0.1113331301,0.09949739138,0.08861745659,257028,25156,16791,13753,8690,5582,5077,3869,0,32.6,5.5,12,2019,1,0,False
2019-12-13,0.3682988124,0.1645986879,0.1041192886,0.07923027512,0.06179395234,0.04914564721,0.04409585709,0.03838879045,0.3714219853,0.1641309733,0.1023321173,0.07667972796,0.05839571229,0.04351123722,0.03811737153,0.03277935414,221391,19558,10431,8181,5855,3372,2736,2492,0,0.2,2.5,12,2019,50,4,False
2020-04-06,0.2964746187,0.1046971178,0.06467503813,0.04615460936,0.03064453769,0.02223947576,0.01725659849,0.01365172932,0.3073213487,0.1080714231,0.06391629069,0.04427302388,0.0296704137,0.02144668757,0.0171691392,0.01302382045,182684,14426,8294,5368,3762,2612,1551,886,1,0.0,8.9,4,2020,15,0,False
2020-03-04,0.3585716501,0.1607274753,0.09077902815,0.05888799481,0.0455831752,0.03745691415,0.02884274717,0.02280847665,0.3801290512,0.1716920314,0.09441080061,0.05995713062,0.04651272719,0.0372170903,0.02667064211,0.01994934941,190147,14490,5424,3004,2056,1765,1075,836,0,0.3,4.7,3,2020,10,2,False
2020-05-24,0.4459829211,0.204150383,0.1320908477,0.09751353483,0.07669289974,0.0600492393,0.04740253726,0.03759202491,0.4529395147,0.2150754849,0.1358148865,0.09819407664,0.07474508273,0.05709326407,0.04468832756,0.03580017428,242926,16605,8716,6306,5022,3712,2451,1497,0,36.4,18.3,5,2020,21,6,True
2020-03-27,0.312284361,0.1317575303,0.07658567389,0.05453562988,0.04171443648,0.03164335817,0.02723414168,0.02285978692,0.3217400188,0.1342181681,0.07543845258,0.05247321707,0.04003084344,0.02884845701,0.02427280035,0.02050924483,190624,14984,8153,5844,4280,2469,1775,1546,0,79.4,12.1,3,2020,13,4,False
2020-12-04,0.3009653687,0.1510968087,0.09316401733,0.07148108768,0.05470470244,0.04598188701,0.04104706462,0.03694550016,0.3034160003,0.1559975181,0.09231672394,0.06902920962,0.05106338297,0.04302023673,0.03701794578,0.03203703704,186128,15452,8203,6074,3929,2131,1639,1627,0,0.4,1.4,12,2020,49,4,False
2020-03-06,0.364060502,0.1679261488,0.09841032108,0.06873282438,0.04983679843,0.03627080991,0.02955989445,0.02530041684,0.3836998844,0.173456194,0.09982705663,0.0725089154,0.04931704647,0.03585437841,0.02853110889,0.02551960298,200809,16319,8960,5637,3557,1788,1267,979,1,0.0,3.9,3,2020,10,4,False
2019-09-15,0.4116799627,0.176116436,0.1362091624,0.120232867,0.1052836682,0.08884886979,0.07482668525,0.06608510391,0.4224937769,0.163078732,0.1242472563,0.1067496087,0.09280404113,0.07943817033,0.06274191668,0.05384611595,318928,16106,8196,5809,4335,3097,2100,1427,0,4.0,23.4,9,2019,37,6,True
2020-08-26,0.3068061959,0.15807602,0.1024636188,0.08185012715,0.07690165943,0.07375368916,0.06767294985,0.06320766975,0.3054550601,0.1605439546,0.101994336,0.07907492076,0.07291145383,0.06826444808,0.06339850325,0.05903488619,204368,13674,6992,4584,4489,3912,3923,3409,0,219.2,28.2,8,2020,35,2,False
2020-08-03,0.4106398867,0.2264514313,0.1816864682,0.1536585756,0.1326081504,0.1193957738,0.1093540233,0.1005146274,0.4223804558,0.2415654407,0.1893344182,0.1570090298,0.1323312005,0.1177916444,0.1077104347,0.09817661138,241497,24176,16789,13071,10734,8111,7101,6257,0,222.4,26.0,8,2020,32,0,False
2020-05-27,0.3461939172,0.1534855014,0.083864707,0.0519860052,0.04267819763,0.03498328729,0.02760515621,0.02151347613,0.3602100967,0.1625988004,0.08862183979,0.05444952071,0.04461713101,0.03512388587,0.026821851,0.02060093055,186675,14480,5716,3256,2676,2196,1871,1444,0,0.2,18.0,5,2020,22,2,False
2021-01-24,0.3736559603,0.1843604241,0.122991619,0.09086739421,0.0705966971,0.05498041631,0.04488060267,0.03630879055,0.368867855,0.184609751,0.1194754581,0.08458415538,0.06552663438,0.05086146982,0.04083714465,0.03178993663,226811,15359,8542,5898,4455,3281,2317,1536,0,1.0,7.1,1,2021,3,6,True
2020-08-21,0.3418440859,0.1850439605,0.1277573445,0.1050607689,0.09341608253,0.08565199623,0.08017309451,0.07332735341,0.3417429499,0.1889392975,0.1261247176,0.1017504662,0.09042085475,0.0809474538,0.07547547035,0.06816717454,245889,23839,13088,9400,5826,4733,4466,3845,0,14.6,26.0,8,2020,34,4,False
2021-05-07,0.3683195759,0.2088701674,0.1543380927,0.1308454008,0.1104186403,0.09119186178,0.08438275364,0.07358460775,0.3629992399,0.2098628178,0.1502771276,0.1262230999,0.1050248683,0.08643131136,0.07891310708,0.06801167024,211996,18982,10568,9348,6715,4495,3441,2948,0,16.9,15.3,5,2021,18,4,False
2019-10-18,0.3440682709,0.1470100536,0.09355607545,0.07067322023,0.05668194083,0.04486500367,0.04018081237,0.03577341418,0.3569148555,0.1437518198,0.0909635274,0.06802647229,0.05341670491,0.04012627471,0.03512036073,0.03050926086,217652,18904,10537,8568,5844,2940,3047,2386,0,46.0,15.7,10,2019,42,4,False
2019-12-09,0.3074994396,0.1167205118,0.07945090633,0.06508560887,0.04937735793,0.04051513522,0.03337906291,0.02720345287,0.3161554886,0.1196583967,0.07791068753,0.06347070943,0.04615462195,0.03752809474,0.03105549793,0.02555901337,187231,11510,8145,5961,3601,2997,2147,1095,0,0.6,3.7,12,2019,50,0,False
2021-01-19,0.2950099431,0.1457040642,0.08964455573,0.07320834252,0.06097895472,0.04882240386,0.03884768024,0.03061776224,0.2898064382,0.1449784744,0.08627535614,0.07118219053,0.05814348924,0.04578213522,0.0350809827,0.0270873507,154564,9596,4718,4459,3637,2275,1175,1323,0,0.1,-4.2,1,2021,3,1,False
2021-01-28,0.3023360618,0.1624184791,0.1049937474,0.07950989859,0.05917320944,0.04992362364,0.04331621131,0.03660327033,0.3032451844,0.1667640012,0.1051549865,0.07932296346,0.05811433064,0.04908374513,0.04133722671,0.03437687182,150026,13546,7706,4424,2631,2151,1907,1598,0,11.1,-0.3,1,2021,4,3,False
2021-03-23,0.3171450382,0.1670240372,0.1049810233,0.08558339808,0.07001100751,0.05547897615,0.04608585859,0.03238063575,0.3165547458,0.1697741653,0.1043501418,0.08589307853,0.06932776851,0.05493298705,0.04556863038,0.03027339575,176883,14496,5804,4326,4058,2886,1728,1622,1,0.0,8.2,3,2021,12,1,False
