target_dates,op_rate_0d_all_cars,op_rate_1d_all_cars,op_rate_2d_all_cars,op_rate_3d_all_cars,op_rate_4d_all_cars,op_rate_5d_all_cars,op_rate_6d_all_cars,op_rate_7d_all_cars,op_rate_0d_major_cars,op_rate_1d_major_cars,op_rate_2d_major_cars,op_rate_3d_major_cars,op_rate_4d_major_cars,op_rate_5d_major_cars,op_rate_6d_major_cars,op_rate_7d_major_cars,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7,is_clean,avg_precipitation,avg_temperature,month,year,week,weekday,is_weekend
2021-05-06,0.3646908316,0.1964747495,0.1495989033,0.1200903737,0.09735310046,0.08772113909,0.07637309324,0.06877651413,0.3554739376,0.1928299302,0.143105333,0.1123222001,0.09002319695,0.08059313266,0.06871486297,0.06193715676,207106,21265,13725,8014,4877,4693,4442,3504,1,0.0,15.4,5,2021,18,3,False
2020-03-21,0.4411467125,0.1822983573,0.1117736839,0.08150943335,0.0601765347,0.04463972907,0.03428672454,0.02950679279,0.4455907668,0.1913471488,0.1180975054,0.08296452443,0.06011060771,0.04509606511,0.03220523254,0.02771310513,311974,30772,17609,13193,10006,6376,2668,1877,0,1.5,12.6,3,2020,12,5,True
2021-04-29,0.3419894323,0.1819860418,0.1250554631,0.09700094749,0.07983626826,0.07317491681,0.0670196663,0.05880361435,0.335169334,0.1803088881,0.1202730458,0.09222846442,0.07604237982,0.07000070476,0.06479048367,0.05739549354,196166,16434,9391,6119,3421,3696,3157,2862,0,16.8,15.0,4,2021,17,3,False
2019-10-09,0.4193631614,0.1726771905,0.1075566867,0.07741884508,0.0637939917,0.05535056536,0.0453352382,0.03922557387,0.4380951846,0.1752510907,0.1109231043,0.08018920771,0.06623258511,0.05720715971,0.04806805151,0.0413953657,323582,32568,15078,6165,4651,4608,3321,3081,1,0.0,13.9,10,2019,41,2,False
2021-01-10,0.3060140237,0.140918152,0.08807001772,0.06744970815,0.0563353398,0.04475779133,0.03659774338,0.02886113717,0.3091410963,0.1465219077,0.08920811157,0.06653081533,0.05446725405,0.04287796115,0.03463277278,0.02527505702,193089,12517,6138,4622,3642,2817,2221,1419,1,0.0,18.5,1,2021,1,6,True
2021-05-19,0.4421413342,0.2187667475,0.149087289,0.1156027341,0.1010236288,0.08905164158,0.07776273249,0.06844892948,0.4409742809,0.2220660538,0.1450773539,0.1088144253,0.09354954501,0.08170249994,0.07052286119,0.06181239278,333414,38443,18475,8930,6814,6271,5287,4584,1,0.0,19.3,5,2021,20,2,False
2021-01-04,0.2787463077,0.1267909597,0.08908901284,0.06983896337,0.05345405873,0.04166992177,0.03113249065,0.02677976209,0.2858363747,0.1299222788,0.08837478214,0.06725562706,0.04980839701,0.03935588625,0.02826376786,0.02420547139,168268,14462,7966,5998,4683,3371,2138,1427,0,0.9,-1.2,1,2021,1,0,False
2020-10-10,0.4975595257,0.2822754907,0.1974429197,0.1457016189,0.1172270295,0.09437731259,0.07524837572,0.0655949849,0.5012916021,0.2933664094,0.199487206,0.1446427478,0.116251493,0.09357007228,0.07260849259,0.06233155703,300086,31562,17328,12139,9930,6797,3725,2714,0,0.0,16.7,10,2020,41,5,True
2020-02-13,0.4090055559,0.1836494709,0.1074227172,0.07227436369,0.04902776174,0.04111201898,0.03644998195,0.03103737084,0.426230275,0.1880877743,0.1053748694,0.0702771247,0.04576657378,0.03843753628,0.03356481481,0.02860864391,219588,16589,9047,5594,3109,2552,2219,1535,0,3.1,8.4,2,2020,7,3,False
2020-11-19,0.3358037698,0.1847190941,0.1258802553,0.1034390641,0.08472222222,0.07592404905,0.06787162162,0.05779404404,0.3365796341,0.1871686663,0.1234004914,0.1004270523,0.08073013548,0.07093447731,0.0634600927,0.05302598741,158996,14176,8704,5695,3923,2901,3500,3223,0,302.4,16.2,11,2020,47,3,False
2019-10-25,0.3562383504,0.148929808,0.09663858762,0.07137455138,0.05686507139,0.04579276102,0.04104130352,0.03706291855,0.3709775773,0.1466824032,0.09338060882,0.06791242183,0.05412648168,0.04327221429,0.03973807537,0.03521957916,232714,20910,11919,9426,6286,3525,2851,2768,0,6.9,17.1,10,2019,43,4,False
2020-03-10,0.3599032481,0.1518428036,0.08242300106,0.06419158469,0.04878637846,0.03636684533,0.02799968417,0.02031991677,0.3829513626,0.1648285663,0.08954439008,0.06698679515,0.05039749186,0.03694518088,0.02879336792,0.01998831816,183079,13497,5393,3780,2585,2115,1808,901,0,116.7,7.9,3,2020,11,1,False
2021-03-11,0.3167189901,0.1593309683,0.1016285163,0.07433261833,0.05612931129,0.04904111541,0.04189604396,0.03393721437,0.3101199167,0.1596920174,0.09809194348,0.07104796526,0.05250397993,0.04562349864,0.03874390573,0.03169818629,169914,12607,7112,4360,2173,2067,1709,1559,1,0.0,8.5,3,2021,10,3,False
2021-04-23,0.3415010455,0.1861938404,0.1342453535,0.1110805577,0.09445008508,0.08025272396,0.07396341578,0.06837154864,0.3348459118,0.1871499394,0.1331778273,0.1097091487,0.09298365123,0.0791919536,0.07203936504,0.06684608345,210876,20738,12158,10481,7003,4168,3678,3591,0,0.3,17.8,4,2021,16,4,False
2020-08-10,0.3046938234,0.1524284374,0.1266908484,0.1126507085,0.09816775729,0.08616383779,0.07886011966,0.07251908623,0.3039654451,0.1544830354,0.12547811,0.1102332174,0.09437153678,0.0817735683,0.07529481173,0.06943979564,198810,16223,11556,9767,7041,6603,5290,4347,0,319.8,25.9,8,2020,33,0,False
2020-04-08,0.3162262793,0.1222010903,0.06149347849,0.03660796229,0.0300793449,0.0236905249,0.01709477316,0.01300194769,0.331624681,0.1334887412,0.06611896825,0.03817105272,0.02992052212,0.02195042671,0.01560398728,0.012488926,179161,12862,5840,2611,2254,1893,1418,1039,0,1.9,10.3,4,2020,15,2,False
2020-02-07,0.3616950077,0.1632188869,0.09209348373,0.06752258505,0.05086447222,0.04128368803,0.03721065186,0.03330456133,0.3670740815,0.1613674824,0.08868494894,0.06665111805,0.05103199398,0.04202826232,0.03846292921,0.03362839538,193411,17408,8953,6504,4963,3140,2085,2121,0,0.0,0.0,2,2020,6,4,False
2021-03-07,0.3609163122,0.1752119975,0.1142910734,0.08274694405,0.06385723259,0.05105886576,0.04125663037,0.03478329146,0.3567232021,0.1739897535,0.1103200506,0.07927137108,0.05919443378,0.04673034259,0.03685897436,0.0304584951,219958,17184,8452,6500,4489,3047,1829,1402,0,0.2,6.0,3,2021,9,6,True
2020-09-02,0.2889180211,0.143072226,0.08653043572,0.06493585977,0.05569020107,0.04785861172,0.03937011546,0.03323879003,0.294102305,0.1498850496,0.09063628638,0.06776286837,0.05661495797,0.04863387356,0.03988929861,0.03346080306,181511,12053,5861,2902,2569,2014,1718,1521,0,507.2,24.6,9,2020,36,2,False
2020-05-06,0.2876230475,0.1068509836,0.0673407289,0.04795748756,0.03938604178,0.03335004562,0.02686537726,0.02184566881,0.2995137155,0.1121020793,0.06707580044,0.04905292575,0.039278855,0.03250644033,0.02577284019,0.02033449489,191859,17285,8636,5249,4234,3514,3208,2203,0,0.0,17.8,5,2020,19,2,False
2020-01-18,0.4896085437,0.2519227313,0.1815933811,0.1463015144,0.1216328649,0.1014960052,0.08267164707,0.07238760755,0.4853453432,0.2501950585,0.1795748447,0.1421525069,0.115245268,0.0939242884,0.07574591822,0.06402976448,279067,30470,18424,15994,12970,10359,5737,4604,0,7.1,1.7,1,2020,3,5,True
2021-05-12,0.3345496742,0.1777906636,0.1194918775,0.09143416691,0.0812960445,0.07426328792,0.06369582411,0.0564103504,0.3305206276,0.1794642292,0.1177556189,0.0877374169,0.07761396011,0.07097657487,0.06038778094,0.05413896803,189549,14456,7091,3599,3325,3116,2191,2206,0,0.1,18.8,5,2021,19,2,False
2020-03-31,0.3098571462,0.1188013931,0.05594148415,0.04122529359,0.03432337114,0.02489108432,0.01871840974,0.01435470994,0.3203159483,0.1229978715,0.05423765816,0.03812431577,0.02945123459,0.02199171057,0.01704116784,0.0124501976,199318,13187,5030,3398,3059,1922,1291,890,1,0.0,11.0,3,2020,14,1,False
2019-10-17,0.3450175353,0.1390791775,0.08274700956,0.05952549639,0.04299271164,0.0373557592,0.03227915281,0.02599619222,0.3645937266,0.1387539994,0.08416444407,0.05827717276,0.04097955213,0.03576857407,0.03005966907,0.02350280926,209568,14898,7240,3569,2385,2267,1644,1281,1,0.0,14.7,10,2019,42,3,False
2019-10-24,0.3269052995,0.134261352,0.08090694929,0.05753255341,0.04232460162,0.03795401064,0.03369449259,0.02861936337,0.3496046648,0.1366577914,0.0809247129,0.05791049882,0.04081840742,0.03815090312,0.03269419579,0.02579848337,193773,13990,7929,4319,2451,2080,1859,1621,0,23.4,17.7,10,2019,43,3,False
2021-03-30,0.336309055,0.1721087222,0.108666399,0.09090475412,0.07777232581,0.06064756991,0.04802564408,0.03513545663,0.3391452197,0.1793719853,0.110384201,0.09169056997,0.07908960527,0.06092933898,0.04856205583,0.03383476753,182114,13318,5231,4951,4148,3145,1983,1503,1,0.0,11.6,3,2021,13,1,False
2021-01-12,0.3113370241,0.1592034932,0.08931078852,0.06976546922,0.05413312871,0.04237657511,0.03433855847,0.02624442774,0.3160627135,0.1673703381,0.09008578267,0.07017234823,0.05372973799,0.04115499038,0.03337359639,0.02411402645,147915,11580,5064,3531,2637,1600,1677,1149,0,5.8,-2.1,1,2021,2,1,False
2020-06-03,0.3387415634,0.1466680385,0.08043307253,0.04875532146,0.03989363643,0.03341301845,0.02433241827,0.01940828696,0.3548694642,0.1569369094,0.08144766988,0.04839144032,0.03856266907,0.0313172827,0.02225040023,0.01624595881,184773,13533,5469,2744,2353,1787,1406,1271,0,2.8,21.2,6,2020,23,2,False
2020-12-13,0.3789696148,0.2074652778,0.1452392031,0.1058908952,0.0825159352,0.06802040806,0.05526411904,0.04591375981,0.3744751589,0.2121104816,0.147606682,0.1067568985,0.08097917322,0.0663221143,0.0523451669,0.04303532083,202123,18115,10294,6844,5369,3635,2742,1479,0,20.0,1.6,12,2020,50,6,True
2020-06-21,0.4892042199,0.2388833054,0.1671998883,0.127055416,0.103262842,0.0842287828,0.07009701284,0.05755025126,0.4950577961,0.2469690486,0.1716728305,0.1303576523,0.1073122338,0.08566130774,0.06869562117,0.05522062269,290646,24766,12558,8067,6251,5131,3345,2159,0,1.3,23.2,6,2020,25,6,True
2019-10-31,0.3209775617,0.1267318005,0.07680453561,0.05388177117,0.03916986526,0.03479277465,0.03011189072,0.02590357418,0.3296898893,0.1217360128,0.07406457173,0.05232411843,0.03817859768,0.03297167771,0.02833051278,0.02429457418,200962,14462,7492,4170,2058,2111,1608,1304,1,0.0,13.7,10,2019,44,3,False
2020-07-30,0.3536013589,0.18742918,0.1300811329,0.1035713638,0.08641750524,0.07926964707,0.07291641248,0.0664080073,0.363389246,0.2026087587,0.1391724274,0.1095932099,0.0901628958,0.08188218781,0.07484044529,0.06819400206,224338,18427,12106,7745,4810,4204,3941,4090,0,302.7,24.6,7,2020,31,3,False
2021-05-13,0.3443286552,0.1815152485,0.1220781572,0.09541502275,0.07686929072,0.06967492625,0.06383012991,0.05613870228,0.3400511369,0.1813912631,0.1198258943,0.09244776828,0.07315289649,0.066886673,0.06146961064,0.05403133903,192695,16118,9389,5454,3398,2822,2588,2547,1,0.0,20.1,5,2021,19,3,False
2020-07-26,0.435041808,0.2196100158,0.153273855,0.1273689439,0.11228221,0.09693374599,0.08420385654,0.07362894187,0.4418227596,0.2294059775,0.1556262409,0.129518099,0.1118545256,0.09669596008,0.08403353896,0.07146418315,304513,20361,10281,8363,7372,7068,5057,2794,0,16.3,23.4,7,2020,30,6,True
